vulnerability_type,ground_truth,prediction,correct
Integer Flow,SAFE,VULNERABLE,False
Integer Flow,SAFE,VULNERABLE,False
Integer Flow,VULNERABLE,VULNERABLE,True
Type Confusion,SAFE,SAFE,True
Type Confusion,SAFE,SAFE,True
Type Confusion,VULNERABLE,VULNERABLE,True
DoS,SAFE,VULNERABLE,False
DoS,SAFE,SAFE,True
DoS,VULNERABLE,SAFE,False
Bump Seed,SAFE,VULNERABLE,False
Bump Seed,SAFE,SAFE,True
Bump Seed,VULNERABLE,SAFE,False
Unchecked Calls,SAFE,SAFE,True
Unchecked Calls,SAFE,SAFE,True
Unchecked Calls,VULNERABLE,VULNERABLE,True
Missing Key Check,SAFE,SAFE,True
Missing Key Check,SAFE,SAFE,True
Missing Key Check,VULNERABLE,SAFE,False
CPI,SAFE,VULNERABLE,False
CPI,SAFE,SAFE,True
CPI,VULNERABLE,VULNERABLE,True
