vulnerability_type,ground_truth,prediction,correct
Integer Flow,SAFE,VULNERABLE,False
Integer Flow,SAFE,SAFE,True
Integer Flow,VULNERABLE,VULNERABLE,True
Type Confusion,SAFE,VULNERABLE,False
Type Confusion,SAFE,VULNERABLE,False
Type Confusion,VULNERABLE,VULNERABLE,True
DoS,SAFE,VULNERABLE,False
DoS,SAFE,VULNERABLE,False
DoS,VULNERABLE,VULNERABLE,True
Bump Seed,SAFE,VULNERABLE,False
Bump Seed,SAFE,VULNERABLE,False
Bump Seed,VULNERABLE,VULNERABLE,True
Unchecked Calls,SAFE,VULNERABLE,False
Unchecked Calls,SAFE,VULNERABLE,False
Unchecked Calls,VULNERABLE,VULNERABLE,True
Missing Key Check,SAFE,VULNERABLE,False
Missing Key Check,SAFE,VULNERABLE,False
Missing Key Check,VULNERABLE,VULNERABLE,True
CPI,SAFE,VULNERABLE,False
CPI,SAFE,VULNERABLE,False
CPI,VULNERABLE,VULNERABLE,True
